"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"ensemble";0,954401475980823;0,888108365911027;0,732074633425286;0,681224435186549;0,564606254625598;0,4353937453744;0,012220297529006;0,0105816038233385;0,0134158926728586;0,807430374920246;0,00874640818830758
"enfant";0,546438173081216;-1,1024847825102;0,444087378636283;-0,895983482066469;0,216207663496034;0,783792336503966;0,003697766897837;0,0150522934447872;0,0123839009287926;0,747054544996867;0,00691133737709568
"combat";0,858445406427862;1,19005911523704;0,585023888647873;0,811016060082241;0,368798706159307;0,631201293840692;0,00684453729861081;0,0131539383692765;0,00928792569659443;0,898596680671051;0,00749977703882073
"société";-0,476537532441081;0,282935258793321;-0,859861794401544;0,510526879339919;0,761069738917063;0,238930261082934;0,00234352961635742;0,000826133753028313;0,0103199174406605;0,347241567425002;0,00124434165271179
"social";-0,212469412976609;0,0850183212888816;-0,928430641881161;0,371505778173281;0,875202081911311;0,124797918088687;0,000559049553568107;8,95122595019133e-05;0,0123839009287926;0,144374026991483;0,000258128293123683
"liberté";1,14192470150715;-0,297319704691057;0,967735914778489;-0,251966662969212;0,943064810075501;0,0569351899244959;0,014802799033059;0,00100349749718612;0,0113519091847265;0,747504000024873;0,00634301809141903
"travail";-1,39691455485009;-0,276563685134744;-0,980959549773927;-0,194212156435518;0,966270032992244;0,033729967007753;0,0261793741549807;0,00102614771430241;0,0134158926728586;0,903373632489007;0,0109484942811073
"temps";-0,403157167499506;-1,67974559767408;-0,233382927587856;-0,972384907899399;0,0607539266001335;0,939246073399866;0,00150961952049125;0,0262063028443231;0,00928792569659443;1,03976221846785;0,0100412272843949
"gouvernement";-0,476537532441081;0,282935258793321;-0,859861794401544;0,510526879339919;0,761069738917063;0,238930261082934;0,00234352961635742;0,000826133753028313;0,0103199174406605;0,347241567425002;0,00124434165271179
"france";0,109868058075148;0,92616789353453;0,117800539138082;0,993037276731733;0,0155556386369169;0,984444361363082;7,47429732829981e-05;0,00531137440875658;0,00619195046439628;0,559982363037962;0,00194167335550204
"action";0,751505785234618;1,15236036927954;0,546250652588727;0,837621766996531;0,323205159014431;0,676794840985568;0,00407980043001826;0,00959292151166416;0,00722394220846233;0,840310923991585;0,00510098776352646
"rester";-0,910919235133098;0,566316227576556;-0,849256424324216;0,527980611144052;0,743930692344054;0,256069307655943;0,00941951742238406;0,00364071699255104;0,0113519091847265;0,671367722575667;0,00511669846035171
"fille";1,00571063286155;-2,72630635086009;0,346093769624939;-0,938199926788955;0,132548599155363;0,867451400844637;0,01148193255682;0,0843758612034478;0,0113519091847265;1,75603146714117;0,035005275180072
"cas";-1,17340739624379;0,473782942044506;-0,9272673860506;0,374399779336057;0,873219768460743;0,126780231539254;0,00994653707215419;0,00162156030258662;0,00722394220846233;0,798240695916201;0,00460301079496126
"aller";0,895874273845498;1,20325367632217;0,597195090796627;0,802096018895748;0,383652804464026;0,616347195535973;0,00828266991267491;0,0149413767758804;0,0103199174406605;0,919442766027337;0,00872420020639835
"également";1,09652001195862;-1,10698192008074;0,703741608701054;-0,710456014249195;0,52420729726465;0,475792702735348;0,0136490376706739;0,0139107313573189;0,0113519091847265;0,962746291428885;0,0105218623717862
"voir";-1,61605194113795;-0,409777719403332;-0,969323455226893;-0,245788606625688;0,945840960603269;0,0541590393967285;0,0161710456746485;0,00103973857163712;0,00619195046439629;1,05631410687626;0,00690897518505131
"simplement";1,15781634284914;-0,0139379293046698;0,999927549736539;-0,0120372454440605;0,999870958945944;0,000129041054053056;0,0138342485425032;2,00480777401418e-06;0,0103199174406605;0,736062210381821;0,00559120307071384
"familial";-0,282301031937996;-0,459254682807472;-0,523670528078233;-0,851920875446931;0,297890094181282;0,702109905818717;0,000575703930271211;0,0015236367861343;0,00722394220846233;0,328799583077828;0,000780974366176548
"année";-2,13586398698299;0,134494228426989;-0,998023299275599;0,0628450006209586;0,996481188543182;0,00351881145681551;0,0141235757612721;5,60021593813345e-05;0,00309597523219814;1,36014705087354;0,00572755417956657
"état";0,780443598091201;0,616923140800232;0,784499601969228;0,620129320795366;0,64247728588742;0,357522714112578;0,00502862505512108;0,00314216026134013;0,00825593395252838;0,618955543207269;0,00316289753945928
"éducation";0,746038798335337;-1,46863163446377;0,45289787275547;-0,891562402108551;0,224658685368979;0,77534131463102;0,00574379658020262;0,022258811947861;0,0103199174406605;1,00056804931988;0,0103316452148586
"vivre";1,07665546028114;-1,46120913931372;0,5931901258787;-0,805062404140208;0,378736840742254;0,621263159257745;0,00957017114677551;0,0176275100005279;0,00825593395252838;1,11212804981042;0,0102111768765748
"seulement";1,23273408060422;1,3220047260883;0,681982004867717;0,731368952743148;0,494017022091056;0,505982977908942;0,0141142413017009;0,016232475193187;0,00928792569659443;1,11492401335497;0,0115454076367389
"lutte";0,0682470926556593;0,183977529427324;0,347795014587473;0,937570598850081;0,133835771155975;0,866164228844025;2,88400350213631e-05;0,000209583475753449;0,00619195046439629;0,118589127978393;8,70797602147103e-05
"grand";1,23273408060422;1,3220047260883;0,681982004867717;0,731368952743148;0,494017022091056;0,505982977908942;0,00627299613408929;0,00721443341919423;0,00412796697626419;1,11492401335497;0,00513129228299507
"famille";0,588059138500706;-0,360294418402996;0,852684530426634;-0,522426158965179;0,749455144283645;0,250544855716353;0,00214126037383401;0,000803789894317976;0,00619195046439629;0,431812295369222;0,00115456259091044
"venir";-0,451564953189387;0,728249477257644;-0,526982050637329;0,849876413548509;0,301544810233;0,698455189766998;0,000841737489985277;0,0021892561449991;0,00412796697626419;0,522746486252073;0,00112802430913886
"problème";-1,35614591821542;-0,681913693318492;-0,893412808509774;-0,449236634292749;0,816212487770697;0,1837875122293;0,0151837502703187;0,00383906117758734;0,00825593395252838;0,954226837742484;0,00751743123110853
